# <db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
Chlamydia_trachomatis_uid71117,yes,yes,no,Chlamydia trachomatis uid71117,Sequences from GENBANK for <I>Chlamydia trachomatis uid71117</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71117/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71117/*.fna
Chlamydia_trachomatis_uid71119,yes,yes,no,Chlamydia trachomatis uid71119,Sequences from GENBANK for <I>Chlamydia trachomatis uid71119</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71119/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71119/*.fna
Chlamydia_trachomatis_uid71121,yes,yes,no,Chlamydia trachomatis uid71121,Sequences from GENBANK for <I>Chlamydia trachomatis uid71121</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71121/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71121/*.fna
Chlamydia_trachomatis_uid71123,yes,yes,no,Chlamydia trachomatis uid71123,Sequences from GENBANK for <I>Chlamydia trachomatis uid71123</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71123/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71123/*.fna
Chlamydia_trachomatis_uid71125,yes,yes,no,Chlamydia trachomatis uid71125,Sequences from GENBANK for <I>Chlamydia trachomatis uid71125</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71125/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71125/*.fna
Chlamydia_trachomatis_uid71127,yes,yes,no,Chlamydia trachomatis uid71127,Sequences from GENBANK for <I>Chlamydia trachomatis uid71127</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71127/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71127/*.fna
Chlamydia_trachomatis_uid71457,yes,yes,no,Chlamydia trachomatis uid71457,Sequences from GENBANK for <I>Chlamydia trachomatis uid71457</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71457/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71457/*.fna
Chlamydia_trachomatis_uid71459,yes,yes,no,Chlamydia trachomatis uid71459,Sequences from GENBANK for <I>Chlamydia trachomatis uid71459</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71459/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71459/*.fna
Chlamydia_trachomatis_uid71461,yes,yes,no,Chlamydia trachomatis uid71461,Sequences from GENBANK for <I>Chlamydia trachomatis uid71461</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71461/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydia_trachomatis_uid71461/*.fna
Chlamydophila_abortus_S26_3_uid355,yes,yes,no,Chlamydophila abortus S26 3 uid355,Sequences from GENBANK for <I>Chlamydophila abortus S26 3 uid355</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_abortus_S26_3_uid355/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_abortus_S26_3_uid355/*.fna
Chlamydophila_caviae_uid228,yes,yes,no,Chlamydophila caviae uid228,Sequences from GENBANK for <I>Chlamydophila caviae uid228</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_caviae_uid228/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_caviae_uid228/*.fna
Chlamydophila_felis_Fe_C-56_uid370,yes,yes,no,Chlamydophila felis Fe C-56 uid370,Sequences from GENBANK for <I>Chlamydophila felis Fe C-56 uid370</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_felis_Fe_C-56_uid370/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_felis_Fe_C-56_uid370/*.fna
Chlamydophila_pecorum_E58_uid62893,yes,yes,no,Chlamydophila pecorum E58 uid62893,Sequences from GENBANK for <I>Chlamydophila pecorum E58 uid62893</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pecorum_E58_uid62893/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pecorum_E58_uid62893/*.fna
Chlamydophila_pneumoniae_AR39_uid247,yes,yes,no,Chlamydophila pneumoniae AR39 uid247,Sequences from GENBANK for <I>Chlamydophila pneumoniae AR39 uid247</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_AR39_uid247/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_AR39_uid247/*.fna
Chlamydophila_pneumoniae_CWL029_uid248,yes,yes,no,Chlamydophila pneumoniae CWL029 uid248,Sequences from GENBANK for <I>Chlamydophila pneumoniae CWL029 uid248</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_CWL029_uid248/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_CWL029_uid248/*.fna
Chlamydophila_pneumoniae_J138_uid257,yes,yes,no,Chlamydophila pneumoniae J138 uid257,Sequences from GENBANK for <I>Chlamydophila pneumoniae J138 uid257</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_J138_uid257/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_J138_uid257/*.fna
Chlamydophila_pneumoniae_LPCoLN_uid17947,yes,yes,no,Chlamydophila pneumoniae LPCoLN uid17947,Sequences from GENBANK for <I>Chlamydophila pneumoniae LPCoLN uid17947</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_LPCoLN_uid17947/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_LPCoLN_uid17947/*.fna
Chlamydophila_pneumoniae_TW_183_uid420,yes,yes,no,Chlamydophila pneumoniae TW 183 uid420,Sequences from GENBANK for <I>Chlamydophila pneumoniae TW 183 uid420</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_TW_183_uid420/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_pneumoniae_TW_183_uid420/*.fna
Chlamydophila_psittaci_01DC11_uid66479,yes,yes,no,Chlamydophila psittaci 01DC11 uid66479,Sequences from GENBANK for <I>Chlamydophila psittaci 01DC11 uid66479</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_01DC11_uid66479/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_01DC11_uid66479/*.fna
Chlamydophila_psittaci_02DC15_uid66481,yes,yes,no,Chlamydophila psittaci 02DC15 uid66481,Sequences from GENBANK for <I>Chlamydophila psittaci 02DC15 uid66481</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_02DC15_uid66481/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_02DC15_uid66481/*.fna
Chlamydophila_psittaci_08DC60_uid66485,yes,yes,no,Chlamydophila psittaci 08DC60 uid66485,Sequences from GENBANK for <I>Chlamydophila psittaci 08DC60 uid66485</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_08DC60_uid66485/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_08DC60_uid66485/*.fna
Chlamydophila_psittaci_6BC_uid62889,yes,yes,no,Chlamydophila psittaci 6BC uid62889,Sequences from GENBANK for <I>Chlamydophila psittaci 6BC uid62889</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_6BC_uid62889/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_6BC_uid62889/*.fna
Chlamydophila_psittaci_6BC_uid63149,yes,yes,no,Chlamydophila psittaci 6BC uid63149,Sequences from GENBANK for <I>Chlamydophila psittaci 6BC uid63149</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_6BC_uid63149/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_6BC_uid63149/*.fna
Chlamydophila_psittaci_C19_98_uid66483,yes,yes,no,Chlamydophila psittaci C19 98 uid66483,Sequences from GENBANK for <I>Chlamydophila psittaci C19 98 uid66483</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_C19_98_uid66483/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_C19_98_uid66483/*.fna
Chlamydophila_psittaci_CP3_uid172450,yes,yes,no,Chlamydophila psittaci CP3 uid172450,Sequences from GENBANK for <I>Chlamydophila psittaci CP3 uid172450</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_CP3_uid172450/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_CP3_uid172450/*.fna
Chlamydophila_psittaci_NJ1_uid172451,yes,yes,no,Chlamydophila psittaci NJ1 uid172451,Sequences from GENBANK for <I>Chlamydophila psittaci NJ1 uid172451</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_NJ1_uid172451/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_NJ1_uid172451/*.fna
Chlamydophila_psittaci_RD1_uid60445,yes,yes,no,Chlamydophila psittaci RD1 uid60445,Sequences from GENBANK for <I>Chlamydophila psittaci RD1 uid60445</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_RD1_uid60445/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlamydophila_psittaci_RD1_uid60445/*.fna
Chlorobaculum_parvum_NCIB_8327_uid29213,yes,yes,no,Chlorobaculum parvum NCIB 8327 uid29213,Sequences from GENBANK for <I>Chlorobaculum parvum NCIB 8327 uid29213</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobaculum_parvum_NCIB_8327_uid29213/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobaculum_parvum_NCIB_8327_uid29213/*.fna
Chlorobium_chlorochromatii_CaD3_uid13921,yes,yes,no,Chlorobium chlorochromatii CaD3 uid13921,Sequences from GENBANK for <I>Chlorobium chlorochromatii CaD3 uid13921</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_chlorochromatii_CaD3_uid13921/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_chlorochromatii_CaD3_uid13921/*.fna
Chlorobium_limicola_DSM_245_uid12606,yes,yes,no,Chlorobium limicola DSM 245 uid12606,Sequences from GENBANK for <I>Chlorobium limicola DSM 245 uid12606</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_limicola_DSM_245_uid12606/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_limicola_DSM_245_uid12606/*.fna
Chlorobium_luteolum_DSM_273_uid13012,yes,yes,no,Chlorobium luteolum DSM 273 uid13012,Sequences from GENBANK for <I>Chlorobium luteolum DSM 273 uid13012</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_luteolum_DSM_273_uid13012/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_luteolum_DSM_273_uid13012/*.fna
Chlorobium_phaeobacteroides_BS1_uid12608,yes,yes,no,Chlorobium phaeobacteroides BS1 uid12608,Sequences from GENBANK for <I>Chlorobium phaeobacteroides BS1 uid12608</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_phaeobacteroides_BS1_uid12608/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_phaeobacteroides_BS1_uid12608/*.fna
Chlorobium_phaeobacteroides_DSM_266_uid12609,yes,yes,no,Chlorobium phaeobacteroides DSM 266 uid12609,Sequences from GENBANK for <I>Chlorobium phaeobacteroides DSM 266 uid12609</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_phaeobacteroides_DSM_266_uid12609/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_phaeobacteroides_DSM_266_uid12609/*.fna
Chlorobium_tepidum_TLS_uid302,yes,yes,no,Chlorobium tepidum TLS uid302,Sequences from GENBANK for <I>Chlorobium tepidum TLS uid302</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_tepidum_TLS_uid302/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chlorobium_tepidum_TLS_uid302/*.fna
Chloroflexus_Y_400_fl_uid21119,yes,yes,no,Chloroflexus Y 400 fl uid21119,Sequences from GENBANK for <I>Chloroflexus Y 400 fl uid21119</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroflexus_Y_400_fl_uid21119/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroflexus_Y_400_fl_uid21119/*.fna
Chloroflexus_aggregans_DSM_9485_uid16708,yes,yes,no,Chloroflexus aggregans DSM 9485 uid16708,Sequences from GENBANK for <I>Chloroflexus aggregans DSM 9485 uid16708</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroflexus_aggregans_DSM_9485_uid16708/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroflexus_aggregans_DSM_9485_uid16708/*.fna
Chloroflexus_aurantiacus_J_10_fl_uid59,yes,yes,no,Chloroflexus aurantiacus J 10 fl uid59,Sequences from GENBANK for <I>Chloroflexus aurantiacus J 10 fl uid59</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroflexus_aurantiacus_J_10_fl_uid59/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroflexus_aurantiacus_J_10_fl_uid59/*.fna
Chloroherpeton_thalassium_ATCC_35110_uid29215,yes,yes,no,Chloroherpeton thalassium ATCC 35110 uid29215,Sequences from GENBANK for <I>Chloroherpeton thalassium ATCC 35110 uid29215</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroherpeton_thalassium_ATCC_35110_uid29215/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chloroherpeton_thalassium_ATCC_35110_uid29215/*.fna
Chromobacterium_violaceum_uid444,yes,yes,no,Chromobacterium violaceum uid444,Sequences from GENBANK for <I>Chromobacterium violaceum uid444</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chromobacterium_violaceum_uid444/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chromobacterium_violaceum_uid444/*.fna
Chromohalobacter_salexigens_DSM_3043_uid12636,yes,yes,no,Chromohalobacter salexigens DSM 3043 uid12636,Sequences from GENBANK for <I>Chromohalobacter salexigens DSM 3043 uid12636</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chromohalobacter_salexigens_DSM_3043_uid12636/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Chromohalobacter_salexigens_DSM_3043_uid12636/*.fna
Citrobacter_koseri_ATCC_BAA-895_uid12716,yes,yes,no,Citrobacter koseri ATCC BAA-895 uid12716,Sequences from GENBANK for <I>Citrobacter koseri ATCC BAA-895 uid12716</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Citrobacter_koseri_ATCC_BAA-895_uid12716/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Citrobacter_koseri_ATCC_BAA-895_uid12716/*.fna
Citrobacter_rodentium_ICC168_uid34685,yes,yes,no,Citrobacter rodentium ICC168 uid34685,Sequences from GENBANK for <I>Citrobacter rodentium ICC168 uid34685</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Citrobacter_rodentium_ICC168_uid34685/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Citrobacter_rodentium_ICC168_uid34685/*.fna
Clavibacter_michiganensis_NCPPB_382_uid19643,yes,yes,no,Clavibacter michiganensis NCPPB 382 uid19643,Sequences from GENBANK for <I>Clavibacter michiganensis NCPPB 382 uid19643</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clavibacter_michiganensis_NCPPB_382_uid19643/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clavibacter_michiganensis_NCPPB_382_uid19643/*.fna
Clavibacter_michiganensis_sepedonicus_uid184,yes,yes,no,Clavibacter michiganensis sepedonicus uid184,Sequences from GENBANK for <I>Clavibacter michiganensis sepedonicus uid184</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clavibacter_michiganensis_sepedonicus_uid184/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clavibacter_michiganensis_sepedonicus_uid184/*.fna
Clostridiales_genomosp__BVAB3_UPII9_5_uid42555,yes,yes,no,Clostridiales genomosp  BVAB3 UPII9 5 uid42555,Sequences from GENBANK for <I>Clostridiales genomosp  BVAB3 UPII9 5 uid42555</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridiales_genomosp__BVAB3_UPII9_5_uid42555/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridiales_genomosp__BVAB3_UPII9_5_uid42555/*.fna
Clostridium_BNL1100_uid81613,yes,yes,no,Clostridium BNL1100 uid81613,Sequences from GENBANK for <I>Clostridium BNL1100 uid81613</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_BNL1100_uid81613/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_BNL1100_uid81613/*.fna
Clostridium_SY8519_uid67799,yes,yes,no,Clostridium SY8519 uid67799,Sequences from GENBANK for <I>Clostridium SY8519 uid67799</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_SY8519_uid67799/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_SY8519_uid67799/*.fna
Clostridium_acetobutylicum_DSM_1731_uid63241,yes,yes,no,Clostridium acetobutylicum DSM 1731 uid63241,Sequences from GENBANK for <I>Clostridium acetobutylicum DSM 1731 uid63241</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acetobutylicum_DSM_1731_uid63241/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acetobutylicum_DSM_1731_uid63241/*.fna
Clostridium_acetobutylicum_EA_2018_uid50455,yes,yes,no,Clostridium acetobutylicum EA 2018 uid50455,Sequences from GENBANK for <I>Clostridium acetobutylicum EA 2018 uid50455</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acetobutylicum_EA_2018_uid50455/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acetobutylicum_EA_2018_uid50455/*.fna
Clostridium_acetobutylicum_uid77,yes,yes,no,Clostridium acetobutylicum uid77,Sequences from GENBANK for <I>Clostridium acetobutylicum uid77</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acetobutylicum_uid77/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acetobutylicum_uid77/*.fna
Clostridium_acidurici_9a_uid79221,yes,yes,no,Clostridium acidurici 9a uid79221,Sequences from GENBANK for <I>Clostridium acidurici 9a uid79221</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acidurici_9a_uid79221/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_acidurici_9a_uid79221/*.fna
Clostridium_beijerinckii_NCIMB_8052_uid12637,yes,yes,no,Clostridium beijerinckii NCIMB 8052 uid12637,Sequences from GENBANK for <I>Clostridium beijerinckii NCIMB 8052 uid12637</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_beijerinckii_NCIMB_8052_uid12637/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_beijerinckii_NCIMB_8052_uid12637/*.fna
Clostridium_botulinum_A2_Kyoto_uid29859,yes,yes,no,Clostridium botulinum A2 Kyoto uid29859,Sequences from GENBANK for <I>Clostridium botulinum A2 Kyoto uid29859</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A2_Kyoto_uid29859/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A2_Kyoto_uid29859/*.fna
Clostridium_botulinum_A3_Loch_Maree_uid28507,yes,yes,no,Clostridium botulinum A3 Loch Maree uid28507,Sequences from GENBANK for <I>Clostridium botulinum A3 Loch Maree uid28507</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A3_Loch_Maree_uid28507/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A3_Loch_Maree_uid28507/*.fna
Clostridium_botulinum_A_ATCC_19397_uid19517,yes,yes,no,Clostridium botulinum A ATCC 19397 uid19517,Sequences from GENBANK for <I>Clostridium botulinum A ATCC 19397 uid19517</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A_ATCC_19397_uid19517/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A_ATCC_19397_uid19517/*.fna
Clostridium_botulinum_A_Hall_uid19521,yes,yes,no,Clostridium botulinum A Hall uid19521,Sequences from GENBANK for <I>Clostridium botulinum A Hall uid19521</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A_Hall_uid19521/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A_Hall_uid19521/*.fna
Clostridium_botulinum_A_uid193,yes,yes,no,Clostridium botulinum A uid193,Sequences from GENBANK for <I>Clostridium botulinum A uid193</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A_uid193/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_A_uid193/*.fna
Clostridium_botulinum_B1_Okra_uid28505,yes,yes,no,Clostridium botulinum B1 Okra uid28505,Sequences from GENBANK for <I>Clostridium botulinum B1 Okra uid28505</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_B1_Okra_uid28505/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_B1_Okra_uid28505/*.fna
Clostridium_botulinum_BKT015925_uid60407,yes,yes,no,Clostridium botulinum BKT015925 uid60407,Sequences from GENBANK for <I>Clostridium botulinum BKT015925 uid60407</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_BKT015925_uid60407/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_BKT015925_uid60407/*.fna
Clostridium_botulinum_B_Eklund_17B_uid28857,yes,yes,no,Clostridium botulinum B Eklund 17B uid28857,Sequences from GENBANK for <I>Clostridium botulinum B Eklund 17B uid28857</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_B_Eklund_17B_uid28857/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_B_Eklund_17B_uid28857/*.fna
Clostridium_botulinum_B_Eklund_17B_uid60761,yes,yes,no,Clostridium botulinum B Eklund 17B uid60761,Sequences from GENBANK for <I>Clostridium botulinum B Eklund 17B uid60761</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_B_Eklund_17B_uid60761/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_B_Eklund_17B_uid60761/*.fna
Clostridium_botulinum_Ba4_657_uid29077,yes,yes,no,Clostridium botulinum Ba4 657 uid29077,Sequences from GENBANK for <I>Clostridium botulinum Ba4 657 uid29077</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_Ba4_657_uid29077/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_Ba4_657_uid29077/*.fna
Clostridium_botulinum_E3_Alaska_E43_uid28855,yes,yes,no,Clostridium botulinum E3 Alaska E43 uid28855,Sequences from GENBANK for <I>Clostridium botulinum E3 Alaska E43 uid28855</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_E3_Alaska_E43_uid28855/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_E3_Alaska_E43_uid28855/*.fna
Clostridium_botulinum_F_230613_uid47575,yes,yes,no,Clostridium botulinum F 230613 uid47575,Sequences from GENBANK for <I>Clostridium botulinum F 230613 uid47575</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_F_230613_uid47575/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_F_230613_uid47575/*.fna
Clostridium_botulinum_F_Langeland_uid19519,yes,yes,no,Clostridium botulinum F Langeland uid19519,Sequences from GENBANK for <I>Clostridium botulinum F Langeland uid19519</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_F_Langeland_uid19519/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_F_Langeland_uid19519/*.fna
Clostridium_botulinum_H04402_065_uid61511,yes,yes,no,Clostridium botulinum H04402 065 uid61511,Sequences from GENBANK for <I>Clostridium botulinum H04402 065 uid61511</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_H04402_065_uid61511/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_botulinum_H04402_065_uid61511/*.fna
Clostridium_cellulolyticum_H10_uid17419,yes,yes,no,Clostridium cellulolyticum H10 uid17419,Sequences from GENBANK for <I>Clostridium cellulolyticum H10 uid17419</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_cellulolyticum_H10_uid17419/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_cellulolyticum_H10_uid17419/*.fna
Clostridium_cellulovorans_743B_uid32609,yes,yes,no,Clostridium cellulovorans 743B uid32609,Sequences from GENBANK for <I>Clostridium cellulovorans 743B uid32609</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_cellulovorans_743B_uid32609/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_cellulovorans_743B_uid32609/*.fna
Clostridium_cf__saccharolyticum_K10_uid45855,yes,yes,no,Clostridium cf  saccharolyticum K10 uid45855,Sequences from GENBANK for <I>Clostridium cf  saccharolyticum K10 uid45855</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_cf__saccharolyticum_K10_uid45855/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Clostridium_cf__saccharolyticum_K10_uid45855/*.fna
